file_id,author,title,volume,birth,death,wordcount
hertz09_lev_workid76105, Henrik Hertz,N. lang nissen,Digte fra forskjellige Perioder,1798,1870,540.0
brorson02val_workid101637, Hans Adolph Brorson,Det koster ey for megen striid,Samlede skrifter,1694,1764,942.0
staffeldt01val_workid74244, Schack von Staffeldt,V. søefarten,Samlede digte,1769,1826,118.0
aare04val_workid59781, Emil Aarestrup,Til frøken christine rosenørn-lehn,Samlede Skrifter IV,1800,1856,307.0
grundtvig09val_workid64460, N.F.S. Grundtvig,Henrich steffens,UDVALGTE SKRIFTER,1783,1872,837.0
grundtvig11val_workid71363, N.F.S. Grundtvig,"Verden er, som man den tager",SAMLET UDGAVE,1783,1872,508.0
juelh02val_workid56408, Erna Juel-Hansen,En konfirmand,SEX NOVELLER,1845,1922,6016.0
richardt01_workid92806, Christian Richardt,Fra studentermødet.,SAMLEDE DIGTE AF CHR. RICHARDT. FØRSTE DEEL,1831,1892,412.0
claussen11val_workid71797, Sophus Claussen,Palmesøndag,Lyrik IX:1,1865,1931,388.0
hcaeventyr02val_workid82056, Hans Christian Andersen,Hyldemoer.,Eventyr II,1805,1875,3527.0
richardt03_workid70735, Christian Richardt,Den ene og samme.,SAMLEDE DIGTE. TREDJE DEEL.,1831,1892,227.0
hertz09_lev_workid74432, Henrik Hertz,De blinde,Digte fra forskjellige Perioder,1798,1870,220.0
munp2_workid60780, Gustaf Munch-Petersen,Sjælland og digteren,samlede skrifter II,1912,1938,155.0
michs_03_workid63845, Sophus Michaëlis,Sang til solen,SOLBLOMSTER,1865,1932,247.0
munp2_workid60416, Gustaf Munch-Petersen,My evening has come,samlede skrifter II,1912,1938,178.0
blich06_workid84994, Steen Steensen Blicher,Skovduen,Udvalgte Værker,1782,1848,270.0
richardt01_workid68491, Christian Richardt,Efter upsalatoget.,SAMLEDE DIGTE AF CHR. RICHARDT. FØRSTE DEEL,1831,1892,166.0
rode_13_workid58249, Helge Rode,Den første august,DEN VILDE ROSE,1870,1937,494.0
worm01val_workid106293, Jacob Worms,Natalem augustissimi ac serenissimi regis,SKRIFTER,1642,1693,156.0
stuckenberg02_workid101566, Viggo Stuckenberg,Marts,SAMLEDE VÆRKER,1863,1905,124.0
aare03val_workid59575, Emil Aarestrup,Stævnemødet,Aarestrup vol 3,1800,1856,255.0
richardt02_workid89254, Christian Richardt,Matthæus.,SAMLEDE DIGTE. ANDEN DEEL.,1831,1892,241.0
holb11val_workid67585, Ludvig Holberg,Epistola 434,"Værker i tolv bind, XI<lb xml:id=""idm140209967157744""/> EPISTLER",1684,1754,1230.0
grundtvig11val_workid77740, N.F.S. Grundtvig,Paradis-gaard og folke-vang,SAMLET UDGAVE,1783,1872,237.0
hjort_09_workid54555, Knud Hjortø,Pe svenden og hans søn,INDENSOGNS OG UDENSOGNS NOVELLER,1869,1931,6896.0
wintherchr01val_workid98463, Christian Winther,Naar bølgen langsomt vugger,Poetiske Skrifter 1,1796,1876,170.0
hertz10_lev_workid66612, Henrik Hertz,Nu kan i dømme,Blandede Digte,1798,1870,879.0
aakjaer02val_workid82574, Jeppe Aakjær,Efteraar.,SAMLEDE VÆRKER II,1866,1930,156.0
ewald05val_workid93817, Johannes Ewald,"Samtlige skrifter i, tilegnelse (1780)",Samlede skrifter,1743,1781,189.0
munp1_workid72193, Gustaf Munch-Petersen,Tanker,samlede skrifter I,1912,1938,129.0
michs_03_workid66333, Sophus Michaëlis,Kornmod,SOLBLOMSTER,1865,1932,226.0
aakjaer02val_workid77015, Jeppe Aakjær,Bondefjol.,SAMLEDE VÆRKER II,1866,1930,371.0
hertz10_lev_workid68045, Henrik Hertz,Antonie,Blandede Digte,1798,1870,177.0
rode_04_workid59312, Helge Rode,Tilfjelds,ARIEL. EN DIGTSAMLING,1870,1937,288.0
kaalund01_workid74715, H. V. Kaalund,Til naturen.,SAMLEDE DIGTE,1818,1885,174.0
aakjaer02val_workid100393, Jeppe Aakjær,Avisdrengen. (carl snoilsky.),SAMLEDE VÆRKER II,1866,1930,171.0
grundtvig11val_workid148916, N.F.S. Grundtvig,Gud-fader udsendte sit naadens-ord,SAMLET UDGAVE,1783,1872,201.0
drachmann01_workid79513, Holger Drachmann,Til mesteren,SAMLEDE POETISKE SKRIFTER FØRSTE BIND,1846,1908,542.0
baggesen02val_workid57867, Jens Baggesen,Brevlængselen,Riimbreve og Epistler,1764,1826,531.0
baggesen02val_workid86277, Jens Baggesen,"Rimbrevpennen, eller den korsøerske svane",Riimbreve og Epistler,1764,1826,1135.0
staffeldt01val_workid91512, Schack von Staffeldt,Iv. barmhiertigheds tempel. ved billingtons sang,Samlede digte,1769,1826,110.0
wintherchr02val_workid82255, Christian Winther,Paa herreborgen,Poetiske Skrifter 2,1796,1876,1958.0
richardt02_workid87651, Christian Richardt,Ved helligaands-kirkens fornyelse.,SAMLEDE DIGTE. ANDEN DEEL.,1831,1892,304.0
grundtvig11val_workid120113, N.F.S. Grundtvig,Guds engle sang i stjerne-tal,SAMLET UDGAVE,1783,1872,284.0
brorson02val_workid74199, Hans Adolph Brorson,"Kommer, hvo vil viisdom lære!",Samlede skrifter,1694,1764,1458.0
kaalund01_workid79566, H. V. Kaalund,Til min hustru!,SAMLEDE DIGTE,1818,1885,133.0
kaalund01_workid63517, H. V. Kaalund,I staden og paa landet.,SAMLEDE DIGTE,1818,1885,437.0
hertz10_lev_workid75574, Henrik Hertz,Brevposten,Blandede Digte,1798,1870,632.0
kingo01val_workid91907, Thomas Kingo,Æresvers under catharina hemmers portræt 1694,Samlede Skrifter 1,1634,1703,113.0
oehl01val_workid64905, Adam Oehlenschläger,"Høsten, af 'poetiske skrifter', første deel', 1805",POETISKE SKRIFTER I,1779,1850,800.0
kingo04val_workid97660, Thomas Kingo,"Naar jeg, o jesu, betænker",Samlede Skrifter 4,1634,1703,580.0
aarestrup07val_workid56893, Emil Aarestrup,Vinens gud (dk),Udvalgte digte,1800,1856,316.0
kingo02val_workid58139, Thomas Kingo,Chr. v's første ledings-tog 1676,Samlede Skrifter 2,1634,1703,3029.0
aakjaer01val_workid83957, Jeppe Aakjær,Æ spøgels,SAMLEDE VÆRKER I,1866,1930,613.0
bang06val_workid83664, Herman Bang,Eleonora duse,Værker i Mindeudgave 6,1857,1912,3011.0
aare01val_workid68613, Emil Aarestrup,Maanen.,Samlede Skrifter I,1800,1856,129.0
drachmann01_workid68291, Holger Drachmann,Under granskoven (til min hustru),SAMLEDE POETISKE SKRIFTER FØRSTE BIND,1846,1908,272.0
kingo03val_workid60163, Thomas Kingo,Ach herre! lad nu ey din vred´ opsyde,Samlede Skrifter 3,1634,1703,669.0
kingo02val_workid75683, Thomas Kingo,Opfordring,Samlede Skrifter 2,1634,1703,432.0
aakjaer02val_workid61492, Jeppe Aakjær,Gammel ka bakk.,SAMLEDE VÆRKER II,1866,1930,583.0
kingo04val_workid76205, Thomas Kingo,Hvor gaar du hen. o søde himmel-søn,Samlede Skrifter 4,1634,1703,148.0
brorson01_workid136633, Hans Adolph Brorson,Nu vel an mit bange hierte,Samlede skrifter,1694,1764,1171.0
brorson02val_workid74951, Hans Adolph Brorson,Hvo vil med til himmerige,Samlede skrifter,1694,1764,990.0
plough01_workid64694, Carl Ploug,Man har sagn om borgtapeter (1),SAMLEDE DIGTE,1813,1894,1267.0
holb11val_workid68267, Ludvig Holberg,Epistola 453,"Værker i tolv bind, XI<lb xml:id=""idm140209967157744""/> EPISTLER",1684,1754,692.0
munp1_workid57404, Gustaf Munch-Petersen,Livets mening,samlede skrifter I,1912,1938,115.0
kingo09val_workid98584, Thomas Kingo,Bryder frem i hule sukke (dk),Digtning i udvalg,1634,1703,1545.0
skjold_03_workid56361, Johan Skjoldborg,Der vokser skov paa heden,DYNÆS DIGTE,1861,1936,142.0
brorson02val_workid54385, Hans Adolph Brorson,"I jomfruer, i kloge",Samlede skrifter,1694,1764,778.0
stuckenberg02_workid64951, Viggo Stuckenberg,Højsommer,SAMLEDE VÆRKER,1863,1905,129.0
aare01val_workid60972, Emil Aarestrup,En stedmodersblomst.,Samlede Skrifter I,1800,1856,121.0
hertz10_lev_workid73460, Henrik Hertz,Med schillers digte,Blandede Digte,1798,1870,149.0
aare03val_workid66417, Emil Aarestrup,Ved en vens hjemkomst,Aarestrup vol 3,1800,1856,277.0
kingo04val_workid83108, Thomas Kingo,"See hvor hand gaar, dend himmel-aulings mand",Samlede Skrifter 4,1634,1703,158.0
kingo04val_workid55608, Thomas Kingo,Alleniste gud i himmerig,Samlede Skrifter 4,1634,1703,270.0
grundtvig11val_workid109473, N.F.S. Grundtvig,Stjernernes skaber og himmelens drot,SAMLET UDGAVE,1783,1872,247.0
larsenthfiredigt_workid56706, Thøger Larsen, jeg drømte,Fire digtsamlinger 1904-1912,1875,1928,168.0
wintherchr01val_workid99825, Christian Winther,Natten var mild og kjær,Poetiske Skrifter 1,1796,1876,142.0
kaalund01_workid62617, H. V. Kaalund,Friskt vejr.,SAMLEDE DIGTE,1818,1885,307.0
nansen03ny_workid56126, Peter Nansen,Ægypteres gæstebud,SAMLEDE SKRIFTER III,1861,1918,3314.0
grundtvig11val_workid99472, N.F.S. Grundtvig,"Syng, guds folk! med hjertens glæde",SAMLET UDGAVE,1783,1872,447.0
boedtcher01_workid76801, Ludvig Bødtcher,En festskaal for rom 1868,SAMLEDE DIGTE,1793,1874,159.0
sthen01val_workid71360, Hans Christensen Sthen,"En tacksigelse oc bøn om afftenen. den hymne, christe qui lux es & dies, &c.",Skrifter I En liden Vandrebog,1544,1610,234.0
bording01val_workid88194, Anders Bording,Forsee dig nu gradiv/ rym hen til andre riger,Digte,1619,1677,507.0
grundtvig12val_workid55795, N.F.S. Grundtvig,Cereris og thetidis strid. en prologue (1774),SAMLET UDGAVE,1783,1872,684.0
moeller01val_workid63392, Poul Martin Møller,Et  blad  af  dødens  dagbog.,SKRIFTER I UDVALG,1794,1838,994.0
grundtvig12val_workid94218, N.F.S. Grundtvig,Idag opstod den herre christ,SAMLET UDGAVE,1783,1872,169.0
aare01val_workid63839, Emil Aarestrup,Ved evalds grav.,Samlede Skrifter I,1800,1856,236.0
hertz10_lev_workid68989, Henrik Hertz,En lille fortælling,Blandede Digte,1798,1870,1053.0
blich07_workid92110, Steen Steensen Blicher,Himmelbjerg-taler for 1844 [uddrag],Udvalgte Værker,1782,1848,966.0
boedtcher01_workid79376, Ludvig Bødtcher,Balvise,SAMLEDE DIGTE,1793,1874,150.0
brorson02val_workid57969, Hans Adolph Brorson,"Hvor lystig, sød og yndig",Samlede skrifter,1694,1764,1679.0
aakjaer02val_workid59822, Jeppe Aakjær,Ved engsøen.,SAMLEDE VÆRKER II,1866,1930,171.0
claussen06val_workid64391, Sophus Claussen,Erindring,Lyrik IV,1865,1931,304.0
kingo04val_workid96300, Thomas Kingo,Længe haver satan spundet,Samlede Skrifter 4,1634,1703,684.0
boedtcher01_workid88399, Ludvig Bødtcher,Ved en confirmation,SAMLEDE DIGTE,1793,1874,114.0
grundtvig11val_workid102693, N.F.S. Grundtvig,Blomstre som en rosen-gaard,SAMLET UDGAVE,1783,1872,558.0
baggesen02val_workid77626, Jens Baggesen,Det tilgivelige tyverie,Riimbreve og Epistler,1764,1826,511.0
grundtvig11val_workid159039, N.F.S. Grundtvig,"Kom, gud-faders aand fuldgod",SAMLET UDGAVE,1783,1872,192.0
munp1_workid80722, Gustaf Munch-Petersen,Glimt - varslende - flygtet,samlede skrifter I,1912,1938,162.0
larsenthfiredigt_workid64979, Thøger Larsen,Stormfuld vinternat,Fire digtsamlinger 1904-1912,1875,1928,142.0
staffeldt01val_workid87312, Schack von Staffeldt,"Til phantasien [forlad ei, hulde phantasie]",Samlede digte,1769,1826,206.0
bording01val_workid135692, Anders Bording,Jeg takker gud at jeg er ey,Digte,1619,1677,158.0
kingo09val_workid86155, Thomas Kingo,"Hierte fader, godheds rood (dk)",Digtning i udvalg,1634,1703,487.0
kingo04val_workid77830, Thomas Kingo,Mit barn frygt dend sande gud,Samlede Skrifter 4,1634,1703,295.0
aare04val_workid58264, Emil Aarestrup,Mit brev jeg sender,Samlede Skrifter IV,1800,1856,812.0
hertz10_lev_workid72492, Henrik Hertz,Til fru heiberg,Blandede Digte,1798,1870,226.0
richardt03_workid72680, Christian Richardt,Ossians digte [uddrag],SAMLEDE DIGTE. TREDJE DEEL.,1831,1892,192.0
holb11val_workid68892, Ludvig Holberg,Epistola 502,"Værker i tolv bind, XI<lb xml:id=""idm140209967157744""/> EPISTLER",1684,1754,1142.0
claussen09val_workid72577, Sophus Claussen,Eleonora duse,Lyrik VII,1865,1931,282.0
michs_01_workid59127, Sophus Michaëlis,Nøkkeroser,DIGTE,1865,1932,311.0
kaalund01_workid78077, H. V. Kaalund,Bjørnen.,SAMLEDE DIGTE,1818,1885,100.0
kaalund01_workid73300, H. V. Kaalund,Rastløs higen.,SAMLEDE DIGTE,1818,1885,141.0
skjold_03_workid57131, Johan Skjoldborg,Sommerdaw,DYNÆS DIGTE,1861,1936,178.0
wesselhhl_workid82805, Johan Herman Wessel,Hvad nytter den raaben,Samlede Digte,1742,1785,274.0
aakjaer01val_workid69452, Jeppe Aakjær,Mads tammeses maren,SAMLEDE VÆRKER I,1866,1930,303.0
claussen03val_workid62180, Sophus Claussen,Nye piger et resultat,Lyrik I,1865,1931,547.0
staffeldt01val_workid61264, Schack von Staffeldt,Til phylllis,Samlede digte,1769,1826,123.0
kaalund01_workid55495, H. V. Kaalund,Til adam oehlenschläger.,SAMLEDE DIGTE,1818,1885,415.0
wintherchr02val_workid58385, Christian Winther,Henrik og else,Poetiske Skrifter 2,1796,1876,1090.0
blich06_workid81365, Steen Steensen Blicher,Sneklokken,Udvalgte Værker,1782,1848,241.0
kingo04val_workid59494, Thomas Kingo,Af høyheden oprunden er,Samlede Skrifter 4,1634,1703,719.0
plough01_workid64080, Carl Ploug,Til johan christian drewsen,SAMLEDE DIGTE,1813,1894,234.0
stuckenberg02_workid88713, Viggo Stuckenberg,Til min gudsøn,SAMLEDE VÆRKER,1863,1905,191.0
hertz09_lev_workid57149, Henrik Hertz,Hymne,Digte fra forskjellige Perioder,1798,1870,186.0
bording01val_workid121005, Anders Bording,O wrede sind ô haarde steen,Digte,1619,1677,455.0
blich06_workid79689, Steen Steensen Blicher,Til glæden,Udvalgte Værker,1782,1848,287.0
oehl01val_workid75421, Adam Oehlenschläger,Aften-sang,POETISKE SKRIFTER I,1779,1850,295.0
grundtvig11val_workid59087, N.F.S. Grundtvig,Som den gyldne soel udbryder,SAMLET UDGAVE,1783,1872,401.0
grundtvig11val_workid100714, N.F.S. Grundtvig,"Ved kundskabs-træet, uretviis",SAMLET UDGAVE,1783,1872,474.0
brorson02val_workid129745, Hans Adolph Brorson,"Du arme støv og jord, hvad bilder du dig ind",Samlede skrifter,1694,1764,659.0
richardt01_workid60165, Christian Richardt,Stambogsblad.,SAMLEDE DIGTE AF CHR. RICHARDT. FØRSTE DEEL,1831,1892,164.0
boedtcher01_workid89778, Ludvig Bødtcher,Med en juleengel,SAMLEDE DIGTE,1793,1874,183.0
claussen07val_workid63580, Sophus Claussen,Skumring,Lyrik V,1865,1931,108.0
aare01val_workid56601, Emil Aarestrup,Da vinduet var frosset.,Samlede Skrifter I,1800,1856,237.0
larsenthfiredigt_workid63764, Thøger Larsen,Vaardagen,Fire digtsamlinger 1904-1912,1875,1928,224.0
aakjaer01val_workid100074, Jeppe Aakjær,Bossen,SAMLEDE VÆRKER I,1866,1930,301.0
plough01_workid104183, Carl Ploug,Cordouan,SAMLEDE DIGTE,1813,1894,1123.0
heibergpa01val_workid125462, Peter Andreas Heiberg,Vise den 14. juni 1794,Udvalgte Skrifter,1758,1841,446.0
drachmann01_workid62041, Holger Drachmann,Menuetto,SAMLEDE POETISKE SKRIFTER FØRSTE BIND,1846,1908,184.0
hcaeventyr02val_workid105654, Hans Christian Andersen,Pengegrisen.,Eventyr II,1805,1875,1219.0
stub01val_workid69696, Ambrosius Stub,Hver tiime er forgyldt,Digte,1705,1758,277.0
munp2_workid56769, Gustaf Munch-Petersen,Modest love-tune,samlede skrifter II,1912,1938,157.0
oehl01val_workid62679, Adam Oehlenschläger,Grundlovsfest,POETISKE SKRIFTER I,1779,1850,106.0
skjold_03_workid56598, Johan Skjoldborg,Grundlovssang,DYNÆS DIGTE,1861,1936,188.0
grundtvig12val_workid61860, N.F.S. Grundtvig,"Sara var død, i sin eenlighed",SAMLET UDGAVE,1783,1872,1066.0
heibergpa01val_workid122731, Peter Andreas Heiberg,Vise. 1791,Udvalgte Skrifter,1758,1841,468.0
drachmann01_workid95040, Holger Drachmann,Med høj horisont,SAMLEDE POETISKE SKRIFTER FØRSTE BIND,1846,1908,1796.0
michs_11_workid61260, Sophus Michaëlis,Edvard rudolf neovius,ROMERSK FORAAR,1865,1932,200.0
baggesen02val_workid68493, Jens Baggesen,Postscriptet i aar til brevet i fjor,Riimbreve og Epistler,1764,1826,1086.0
blich07_workid88125, Steen Steensen Blicher,Sammenligning mellem collegial- og ministerial-bestyrelse,Udvalgte Værker,1782,1848,993.0
hcaeventyr04val_workid71700, Hans Christian Andersen,I andegaarden,Eventyr IV,1805,1875,2397.0
stuckenberg02_workid98196, Viggo Stuckenberg,"Iv. et kammers paa slottet, en aften i høst",SAMLEDE VÆRKER,1863,1905,1134.0
nansen03ny_workid61912, Peter Nansen,Det aandelige børstenbinderlaug,SAMLEDE SKRIFTER III,1861,1918,1175.0
kingo04val_workid89153, Thomas Kingo,Til jordans flood min siæl vil ile hen,Samlede Skrifter 4,1634,1703,203.0
ingemann01_workid58868, B.S. Ingemann,Moster maria,Fjorten Eventyr og Fortællinger,1789,1862,9999.0
stub01val_workid58962, Ambrosius Stub,Indskrift paa en tavle i køng kirke,Digte,1705,1758,291.0
paludanm03_workid109672, Frederik Paludan-Müller,Adonis et mythisk digt (1874),POETISKE SKRIFTER I UDVALG III. BIND,1809,1876,1978.0
aakjaer01val_workid82217, Jeppe Aakjær,Arbejdernes læseselskab,SAMLEDE VÆRKER I,1866,1930,296.0
wesselhhl_workid83559, Johan Herman Wessel,Fragmenter,Samlede Digte,1742,1785,847.0
grundtvig11val_workid125095, N.F.S. Grundtvig,I dag sukker helved og klager,SAMLET UDGAVE,1783,1872,362.0
grundtvig11val_workid88562, N.F.S. Grundtvig,Vor fader god i himmerig,SAMLET UDGAVE,1783,1872,390.0
ingemann01_workid64025, B.S. Ingemann,O siel! hvor blev de gode ord,Fjorten Eventyr og Fortællinger,1789,1862,1664.0
kingo03val_workid81098, Thomas Kingo,Blant alle ting i verden her,Samlede Skrifter 3,1634,1703,876.0
staffeldt01val_workid74680, Schack von Staffeldt,Platonismus,Samlede digte,1769,1826,151.0
richardt03_workid63152, Christian Richardt,"Skyttesang. [klippers vælde, mur al fjelde]",SAMLEDE DIGTE. TREDJE DEEL.,1831,1892,151.0
claussen04val_workid57762, Sophus Claussen,Tonearkitektur,Lyrik II,1865,1931,194.0
aakjaer02val_workid89701, Jeppe Aakjær,Sypigen. (thomas hood.),SAMLEDE VÆRKER II,1866,1930,578.0
rode_08_workid58337, Helge Rode,Norden,DEN STILLE HAVE,1870,1937,288.0
aare03val_workid79229, Emil Aarestrup,D. 17. juli 1847,Aarestrup vol 3,1800,1856,266.0
michs_03_workid64083, Sophus Michaëlis,Ekko,SOLBLOMSTER,1865,1932,122.0
drachmann01_workid94151, Holger Drachmann,Lægen paa valpladsen,SAMLEDE POETISKE SKRIFTER FØRSTE BIND,1846,1908,1457.0
moeller01val_workid64327, Poul Martin Møller,Poetens bøn paa bjærget,SKRIFTER I UDVALG,1794,1838,113.0
hertz09_lev_workid70697, Henrik Hertz,"Posthuset i hirschholm, et maanskins-stykke",Digte fra forskjellige Perioder,1798,1870,1051.0
worm01val_workid107793, Jacob Worms,"Qvinde-ukruds lifactige contrafayt,",SKRIFTER,1642,1693,1988.0
bording01val_workid88804, Anders Bording,Den gamle tjd forsuinder hen,Digte,1619,1677,2220.0
kaalund01_workid79669, H. V. Kaalund,Stæren.,SAMLEDE DIGTE,1818,1885,225.0
wintherchr01val_workid93360, Christian Winther,Der var saa eensomt og saa stille,Poetiske Skrifter 1,1796,1876,239.0
wied01val_workid74975, Gustav Wied,Selma tornhjelm,Romaner Noveller Skuespil 1,1858,1914,3574.0
kingo09val_workid92762, Thomas Kingo,Mørket skiuler jorderige (dk),Digtning i udvalg,1634,1703,615.0
grundtvig11val_workid76745, N.F.S. Grundtvig,Som hønen klukker mindelig,SAMLET UDGAVE,1783,1872,103.0
aakjaer02val_workid99591, Jeppe Aakjær,Stines parasol. (f. a. dahlgren.),SAMLEDE VÆRKER II,1866,1930,193.0
blich07_workid92383, Steen Steensen Blicher,Til de unge skandinaver,Udvalgte Værker,1782,1848,444.0
stuckenberg02_workid95651, Viggo Stuckenberg,Clara,SAMLEDE VÆRKER,1863,1905,233.0
bording01val_workid86551, Anders Bording,Saa kand en hastig storm den allerstørste ceder,Digte,1619,1677,966.0
aare02val_workid65251, Emil Aarestrup,Til .....[hvor gjerne jeg endogsaa vil],Samlede Skrifter II,1800,1856,778.0
richardt01_workid76269, Christian Richardt,Ved løvfald.,SAMLEDE DIGTE AF CHR. RICHARDT. FØRSTE DEEL,1831,1892,331.0
kingo04val_workid88075, Thomas Kingo,Et menniske jeg kiender grandt,Samlede Skrifter 4,1634,1703,327.0
brorson02val_workid132436, Hans Adolph Brorson,Paa syndsens torv for langen tiid,Samlede skrifter,1694,1764,1150.0
bording01val_workid127790, Anders Bording,Den ædle glædens skat,Digte,1619,1677,519.0
ewald04val_workid77802, Johannes Ewald,Taarer ved herr frederik von arnsbachs grav (1772),Samlede skrifter,1743,1781,677.0
staffeldt01val_workid94314, Schack von Staffeldt,Jertegnet,Samlede digte,1769,1826,305.0
hcaeventyr04val_workid96201, Hans Christian Andersen,Sommergjækken,Eventyr IV,1805,1875,1855.0
kaalund01_workid81441, H. V. Kaalund,Ensomt liv.,SAMLEDE DIGTE,1818,1885,546.0
grundtvig09val_workid65437, N.F.S. Grundtvig,Kirke-sag og kirke-tidende,UDVALGTE SKRIFTER,1783,1872,1454.0
aare01val_workid73333, Emil Aarestrup,Til gud.,Samlede Skrifter I,1800,1856,134.0
staffeldt01val_workid95715, Schack von Staffeldt,Den grædske blomsterpige,Samlede digte,1769,1826,260.0
aare03val_workid55456, Emil Aarestrup,Til vinterveiret [skarpe slud! hvis kast og blæsen],Aarestrup vol 3,1800,1856,418.0
claussen09val_workid76534, Sophus Claussen,De farlige nye tider,Lyrik VII,1865,1931,123.0
grundtvig11val_workid154440, N.F.S. Grundtvig,Gud-helligaand! o kom,SAMLET UDGAVE,1783,1872,151.0
plough01_workid58424, Carl Ploug,Studenterviser [1],SAMLEDE DIGTE,1813,1894,760.0
bang06val_workid57452, Herman Bang,Var der en gud -,Værker i Mindeudgave 6,1857,1912,100.0
bording01val_workid71548, Anders Bording,Straf (dk),Digte,1619,1677,367.0
ewald02dkval_workid71297, Johannes Ewald,Fragment (5) (dk),Udvalgte digte,1743,1781,178.0
claussen07val_workid66131, Sophus Claussen,Maanens tungsind (efter charles baudelaire),Lyrik V,1865,1931,133.0
baggesen01val_workid56089, Jens Baggesen,Drømmene,Eventyr og Fortællinger,1764,1826,820.0
hertz09_lev_workid59576, Henrik Hertz,Frugthandleren,Digte fra forskjellige Perioder,1798,1870,643.0
kaalund01_workid82642, H. V. Kaalund,Kaalormen.,SAMLEDE DIGTE,1818,1885,267.0
grundtvig12val_workid88814, N.F.S. Grundtvig,Ved jordans færgestæder,SAMLET UDGAVE,1783,1872,656.0
wintherchr01val_workid95222, Christian Winther,O herre! hør min jammers bøn,Poetiske Skrifter 1,1796,1876,241.0
stuckenberg02_workid58892, Viggo Stuckenberg,Stormflod,SAMLEDE VÆRKER,1863,1905,431.0
michs_01_workid57223, Sophus Michaëlis,September,DIGTE,1865,1932,185.0
hcaeventyr04val_workid68438, Hans Christian Andersen,De vises steen,Eventyr IV,1805,1875,7041.0
munp1_workid64456, Gustaf Munch-Petersen,Køjen,samlede skrifter I,1912,1938,706.0
rode_02_workid56127, Helge Rode,"Oh, søvn",DIGTE,1870,1937,110.0
wintherchr01val_workid95657, Christian Winther,Sov sødeligt i dødens skrin,Poetiske Skrifter 1,1796,1876,338.0
grundtvig11val_workid125554, N.F.S. Grundtvig,"Kom, lad os tømme et bæger paany",SAMLET UDGAVE,1783,1872,277.0
wied12val_workid96220, Gustav Wied,Digt og virkelighed,ROMANER NOVELLER SKUESPIL,1858,1914,2709.0
kaalund01_workid61686, H. V. Kaalund,Efteraarsnaturen.,SAMLEDE DIGTE,1818,1885,225.0
rode_04_workid61366, Helge Rode,Ved stranden,ARIEL. EN DIGTSAMLING,1870,1937,172.0
ewald02dkval_workid58083, Johannes Ewald,"Passions oratorium, opført af det saa kaldede raadhuusstrædets musikalske selskab (dk)",Udvalgte digte,1743,1781,1073.0
lyschander_workid108473, Claus Christoffersen Lyschander,Danske kongers slectebog (digte indlagt i),Digtning,1558,1623,865.0
hauch03val_workid82432, Carsten Hauch,Sveitseren,UDVALGTE SKRIFTER III,1790,1872,448.0
